Job Description,Job Category
The New York City Department of Buildings has an opening for a College Aide/Investigative Intern in its Risk Management Office. The Risk Management Office mission is to use data analysis and research techniques to identify areas of fraud and safety risk and to develop strategies to mitigate those risks. The College Aide/Investigative Intern will assist with the aggregationreportingand analysis of data from various internal and external databasesin addition to other related tasks.Responsibilities:â€¢ Run and format reports from DOB data warehouse system and external data sources â€¢ Conduct manual quality control checks on data drawn from various systems â€¢ Utilize databases and spreadsheets to summarize information â€¢ Conduct research related to past investigationstransactionsand enforcement actions â€¢ Write brief reports summarizing information obtained,PolicyResearch & Analysis
The New York City Department of Buildings has an opening for a College Aide/Investigative Intern in its Risk Management Office. The Risk Management Office mission is to use data analysis and research techniques to identify areas of fraud and safety risk and to develop strategies to mitigate those risks. The College Aide/Investigative Intern will assist with the aggregationreportingand analysis of data from various internal and external databasesin addition to other related tasks.Responsibilities:â€¢ Run and format reports from DOB data warehouse system and external data sources â€¢ Conduct manual quality control checks on data drawn from various systems â€¢ Utilize databases and spreadsheets to summarize information â€¢ Conduct research related to past investigationstransactionsand enforcement actions â€¢ Write brief reports summarizing information obtained,PolicyResearch & Analysis
The Bureau of Law & Adjustment (BLA) settles and adjusts claims filed against and on behalf of the City of New York. After a claim is filedit is investigated. Based on the results of the investigationthe Comptroller Office may extend an offer to settle the claim. If the claim cannot be settledthe claimant may choose to pursue the matter through the courts.Reporting directly to the Director of Litigation and under the general guidance of the Senior Court Representativeduties for the Court Representative position includebut are not limited tothe following:â€¢ Adhere to best practices to efficiently and successfully evaluatenegotiateand settle pre-litigation claims and pending litigation on behalf of the City of New York and its agencies â€¢ Assess risk based on the facts presented and the relevant law â€¢ Evaluatedeliberate onand analyze Law Department recommendations for settlement of cases within delegated authority using independent risk analysis â€¢ Pr,Legal Affairs
The Bureau of Law & Adjustment (BLA) settles and adjusts claims filed against and on behalf of the City of New York. After a claim is filedit is investigated. Based on the results of the investigationthe Comptroller Office may extend an offer to settle the claim. If the claim cannot be settledthe claimant may choose to pursue the matter through the courts.Reporting directly to the Director of Litigation and under the general guidance of the Senior Court Representativeduties for the Court Representative position includebut are not limited tothe following:â€¢ Adhere to best practices to efficiently and successfully evaluatenegotiateand settle pre-litigation claims and pending litigation on behalf of the City of New York and its agencies â€¢ Assess risk based on the facts presented and the relevant law â€¢ Evaluatedeliberate onand analyze Law Department recommendations for settlement of cases within delegated authority using independent risk analysis â€¢ Pr,Legal Affairs
With a staff of more than 7 000 and a budget of $1.6 billionthe New York City Department of Health and Mental Hygiene is the nation premier city health agency.Its 100-plus programs protect and promote the health of the world most culturally and linguistically diverse city.Each of those programs relies on the press office in the Office of External Affairs to convey critical messages to the public and respond to media inquiries in a timelyaccurate fashion.As the main point of contact for community-basedcitywidenational and international mediathe Press Office plays a key role in fulfilling the Health Department mission.Whether responding to an acute crisis or advancing a new initiativethe agency relies on the Press Office to convey vital information to the public.Reporting the Associate Commissioner for External Affairs and supervising four press officersthe Press Secretary oversees the production of up to a 100 news releases a year and plays a central role in ,Health
With a staff of more than 7 000 and a budget of $1.6 billionthe New York City Department of Health and Mental Hygiene is the nation premier city health agency.Its 100-plus programs protect and promote the health of the world most culturally and linguistically diverse city.Each of those programs relies on the press office in the Office of External Affairs to convey critical messages to the public and respond to media inquiries in a timelyaccurate fashion.As the main point of contact for community-basedcitywidenational and international mediathe Press Office plays a key role in fulfilling the Health Department mission.Whether responding to an acute crisis or advancing a new initiativethe agency relies on the Press Office to convey vital information to the public.Reporting the Associate Commissioner for External Affairs and supervising four press officersthe Press Secretary oversees the production of up to a 100 news releases a year and plays a central role in ,Health
The New York City Department of Health and Mental Hygiene is a world-renowned agency with a long tradition of protecting and promoting health in the nation most culturally and linguistically diverse city. Our 7 000-plus team members bring an extraordinary array of languagescultures and experiences to bear on the work of public health. Our diversity fuels creativitybecause all perspectives are heard and valued. The Office of External Affairs (OEA) manages many of the agency most critical interactions with the publicfrom raising awareness and promoting healthy behaviors to advancing policies and responding to health emergencies. OEA serves as the agency in-house publisheradvertiser and marketer of trendsettingculturally responsive campaigns and initiativesmaintains several websitesand oversees new and social media outreach and efforts.As the nation leading public health departmentthe DOHMH is seeking to hire a dynamic leader to serve as an Associ,Health
The New York City Department of Health and Mental Hygiene is a world-renowned agency with a long tradition of protecting and promoting health in the nation most culturally and linguistically diverse city. Our 7 000-plus team members bring an extraordinary array of languagescultures and experiences to bear on the work of public health. Our diversity fuels creativitybecause all perspectives are heard and valued. The Office of External Affairs (OEA) manages many of the agency most critical interactions with the publicfrom raising awareness and promoting healthy behaviors to advancing policies and responding to health emergencies. OEA serves as the agency in-house publisheradvertiser and marketer of trendsettingculturally responsive campaigns and initiativesmaintains several websitesand oversees new and social media outreach and efforts.As the nation leading public health departmentthe DOHMH is seeking to hire a dynamic leader to serve as an Associ,Health
The NYC Department of Consumer Affairs (DCA) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCA licenses more than 81 000 businesses in more than 50 industries and enforces key consumer protectionlicensingand workplace laws that apply to countless more. By supporting businesses through equitable enforcement and access to resources andby helping to resolve complaintsDCA protects the marketplace from predatory practices and strives to create a culture of compliance. Through its community outreach and the work of its offices of Financial Empowerment and Labor Policy & StandardsDCA empowers consumers and working families by providing the tools and resources they need to be educated consumers and to achieve financial health and work-life balance. DCA also conducts research and advocates for public policy that furthers its work to support New York City communities. For more information about DCA and its workcall 311 or visit DCA at nyc.gov/dca o,Constituent Services & Community Programs Policy
The NYC Department of Consumer Affairs (DCA) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCA licenses more than 81 000 businesses in more than 50 industries and enforces key consumer protectionlicensingand workplace laws that apply to countless more. By supporting businesses through equitable enforcement and access to resources andby helping to resolve complaintsDCA protects the marketplace from predatory practices and strives to create a culture of compliance. Through its community outreach and the work of its offices of Financial Empowerment and Labor Policy & StandardsDCA empowers consumers and working families by providing the tools and resources they need to be educated consumers and to achieve financial health and work-life balance. DCA also conducts research and advocates for public policy that furthers its work to support New York City communities. For more information about DCA and its workcall 311 or visit DCA at nyc.gov/dca o,Constituent Services & Community Programs Policy
The NYC Department of Consumer Affairs (DCA) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCA licenses more than 81 000 businesses in more than 50 industries and enforces key consumer protectionlicensingand workplace laws that apply to countless more. By supporting businesses through equitable enforcement and access to resources andby helping to resolve complaintsDCA protects the marketplace from predatory practices and strives to create a culture of compliance. Through its community outreach and the work of its offices of Financial Empowerment and Labor Policy & StandardsDCA empowers consumers and working families by providing the tools and resources they need to be educated consumers and to achieve financial health and work-life balance. DCA also conducts research and advocates for public policy that furthers its work to support New York City communities. For more information about DCA and its workcall 311 or visit DCA at nyc.gov/dca or ,Constituent Services & Community Programs Communi
The NYC Department of Consumer Affairs (DCA) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCA licenses more than 81 000 businesses in more than 50 industries and enforces key consumer protectionlicensingand workplace laws that apply to countless more. By supporting businesses through equitable enforcement and access to resources andby helping to resolve complaintsDCA protects the marketplace from predatory practices and strives to create a culture of compliance. Through its community outreach and the work of its offices of Financial Empowerment and Labor Policy & StandardsDCA empowers consumers and working families by providing the tools and resources they need to be educated consumers and to achieve financial health and work-life balance. DCA also conducts research and advocates for public policy that furthers its work to support New York City communities. For more information about DCA and its workcall 311 or visit DCA at nyc.gov/dca or ,Constituent Services & Community Programs Communi
"HPD Division of Housing Incentiveslocated within the Office of Developmentseeks a candidate to join the Compliance & Enforcement and Inclusionary Housing Programs (the ""Division"").Under the direction of the Executive Director and Division attorneysthe candidate will assist in investigating and taking enforcement action against owners that fail to comply with applicable state and local lawscodesand regulationsas wellagency regulatory agreements. These investigations regularly involve coordination with other city and state agencies.Key Responsibilities includebut are not limited to:Assist the Division in reviewing and analyzing complaints of non-compliance from within HPDincluding the Office of Asset and Property Management (APM) and the Tax Incentives Programs (TIP)and from outside HPD Assist the Division in collecting facts from public sourcesproperty ownersand residents Maintain complete and organized case files Work with other Divis",Constituent Services & Community Programs
"HPD Division of Housing Incentiveslocated within the Office of Developmentseeks a candidate to join the Compliance & Enforcement and Inclusionary Housing Programs (the ""Division"").Under the direction of the Executive Director and Division attorneysthe candidate will assist in investigating and taking enforcement action against owners that fail to comply with applicable state and local lawscodesand regulationsas wellagency regulatory agreements. These investigations regularly involve coordination with other city and state agencies.Key Responsibilities includebut are not limited to:Assist the Division in reviewing and analyzing complaints of non-compliance from within HPDincluding the Office of Asset and Property Management (APM) and the Tax Incentives Programs (TIP)and from outside HPD Assist the Division in collecting facts from public sourcesproperty ownersand residents Maintain complete and organized case files Work with other Divis",Constituent Services & Community Programs
The position manages all workforce studiesreviewsand auditsand works with units to address structure issues as well as staffing strategies as they relate to organizational effectivenesscivil serviceand regulatory compliance. The Workforce Planning Manager advises managers on workforce planningorganizational designand classification and job design.Under direction: â€¢Conduct position and organizational reviewsanalyze workforce dataand develop plans to meet the Department's current and projected staffing needs â€¢Build capacity of the Department's workforce through the development and management of human capital programs for internshipstraineesand non-traditional staffing types â€¢Review proposed actions that may impact organizational structure â€¢Research rulesregulationsand policies to assist with confidential and sensitive investigations â€¢Evaluate existing and proposed Agency procedures for inclusion in the Employee Handbook and/or other Agency documentsin,Administration & Human Resources PolicyResearch
The position manages all workforce studiesreviewsand auditsand works with units to address structure issues as well as staffing strategies as they relate to organizational effectivenesscivil serviceand regulatory compliance. The Workforce Planning Manager advises managers on workforce planningorganizational designand classification and job design.Under direction: â€¢Conduct position and organizational reviewsanalyze workforce dataand develop plans to meet the Department's current and projected staffing needs â€¢Build capacity of the Department's workforce through the development and management of human capital programs for internshipstraineesand non-traditional staffing types â€¢Review proposed actions that may impact organizational structure â€¢Research rulesregulationsand policies to assist with confidential and sensitive investigations â€¢Evaluate existing and proposed Agency procedures for inclusion in the Employee Handbook and/or other Agency documentsin,Administration & Human Resources PolicyResearch
The Division of Economic and Financial Opportunity is committed to encouraging a competitive and diverse New York City business environment by promoting the growth and success of small businesseswith special emphasis on historically underserved groupsand ensuring their meaningful participation in the government procurement process.SBS is seeking a Buyer Services Specialist to provide services and support both Minority and Women Owned Business Enterprises (MWBE) and City Buyers (Mayoral agenciesprime contractorsand other authorities) by using analytical tools and other methods to aggressively increase the volume and frequency of contracts awarded to Minority and Women-owned businesses.Data and Analytics â€¢Research and analyze City agency contract dataprocurement practicesneedsand requirements for the purpose of interpreting data trends and identifying areas of opportunity for M/WBEsincluding availability of vendorsprocurement and capacity building opportunitiesâ€¢Revi,Constituent Services & Community Programs
The Division of Economic and Financial Opportunity is committed to encouraging a competitive and diverse New York City business environment by promoting the growth and success of small businesseswith special emphasis on historically underserved groupsand ensuring their meaningful participation in the government procurement process.SBS is seeking a Buyer Services Specialist to provide services and support both Minority and Women Owned Business Enterprises (MWBE) and City Buyers (Mayoral agenciesprime contractorsand other authorities) by using analytical tools and other methods to aggressively increase the volume and frequency of contracts awarded to Minority and Women-owned businesses.Data and Analytics â€¢Research and analyze City agency contract dataprocurement practicesneedsand requirements for the purpose of interpreting data trends and identifying areas of opportunity for M/WBEsincluding availability of vendorsprocurement and capacity building opportunitiesâ€¢Revi,Constituent Services & Community Programs
The Tort Division of the NYC Law Department is accepting applications from admitted attorneys for the position of Assistant Corporation Counsel in the Special Litigation Unit of the Tort Division.Attorneys in SLU handle a caseload from inception to resolution of high-profile and catastrophic-injury cases. SLU attorneys engage in discoverytake and defend depositionswrite and argue motionsengage in settlement negotiationsand prepare for and conduct trials.In addition to cases tried in state courtattorneys may also handle federal diversity and maritime cases.,Legal Affairs
The Tort Division of the NYC Law Department is accepting applications from admitted attorneys for the position of Assistant Corporation Counsel in the Special Litigation Unit of the Tort Division.Attorneys in SLU handle a caseload from inception to resolution of high-profile and catastrophic-injury cases. SLU attorneys engage in discoverytake and defend depositionswrite and argue motionsengage in settlement negotiationsand prepare for and conduct trials.In addition to cases tried in state courtattorneys may also handle federal diversity and maritime cases.,Legal Affairs
Traffic Control & Engineering seeks an ambitious and motivated candidate to fill the position of Transportation Specialist to perform in the specialized fields of traffic control and engineering within Bus Stop Management. The candidate will assist in conducting street/highway transportation studiesdocumenting the conditionsproblemsand improvements as needed as well as conducting field investigations and may supervise staff.Duties include engaging in data collectionsurveysstudies and investigations of traffic conditionsreviews and approves work ordersensures compliance with plansestablished standards and specifications may recommend methods and means to improve the operations.The candidate should possess computer skills as duties may include data entryusing city specific transportation software (SIMSAutoCADArcGIS) the preparation of relevant formsreportslogs and correspondence. The ideal candidate should be detail orientedaccurate and a capable team playerplus have a positiv,Public SafetyInspections& Enforcement
Traffic Control & Engineering seeks an ambitious and motivated candidate to fill the position of Transportation Specialist to perform in the specialized fields of traffic control and engineering within Bus Stop Management. The candidate will assist in conducting street/highway transportation studiesdocumenting the conditionsproblemsand improvements as needed as well as conducting field investigations and may supervise staff.Duties include engaging in data collectionsurveysstudies and investigations of traffic conditionsreviews and approves work ordersensures compliance with plansestablished standards and specifications may recommend methods and means to improve the operations.The candidate should possess computer skills as duties may include data entryusing city specific transportation software (SIMSAutoCADArcGIS) the preparation of relevant formsreportslogs and correspondence. The ideal candidate should be detail orientedaccurate and a capable team playerplus have a positiv,Public SafetyInspections& Enforcement
"About the New York City Police Pension FundThe New York City Police Pension Fund (NYCPPF) is dedicated to providing superior service to its 37 000 active members and 49 000 retired members of the New York City Police Department. Originally established in 1857 as the ""Police Life and Health Insurance Fund "" the Police Pension Fund continues to provide the highest professional standard of service to our members. Visit us at www.nyc.gov/nycppf.Under the direction of the Unit supervisorcandidates will be responsible for performing one or more of the entry level technical assignments described below: Process and check correct information for retirement processingpension benefit estimatesloansservice purchasesbeneficiary changesemployment violations and death benefitsinto the Fund automated Comprehensive Officers Pension System â€œCOPSâ€ and prepare statements as well as correspondence to Members and Retirees regarding but not limited to any of the functions contained herein. ",Administration & Human Resources
The Teachersâ€™ Retirement System of the City of New York (TRS) is a public pension fund that provides New York City educators with retirementdisabilityand death benefits. Established on August 11917TRS is currently the second-largest New York City pension system and one of the largest pension plan sponsors in the United Stateswith almost $72 billion in assets and over 200 000 active and inactive membersretirees and beneficiaries.CurrentlyTRS is undergoing a multi-yearmulti-phase Modernization project. This JanuaryPhase IV implementation will require increased user intervention in two systems and require comparison and reconciliation of outputs between the new and the old in-house systems.TRS is seeking a College Aide who will be performing various accounting assignments in accordance with accounting rules and organizational proceduresincluding gatheringanalyzingand reconciling records of financial activities. The selected candidate may also enter data into GL packageproces,FinanceAccounting& Procurement
The Teachersâ€™ Retirement System of the City of New York (TRS) is a public pension fund that provides New York City educators with retirementdisabilityand death benefits. Established on August 11917TRS is currently the second-largest New York City pension system and one of the largest pension plan sponsors in the United Stateswith almost $72 billion in assets and over 200 000 active and inactive membersretirees and beneficiaries.CurrentlyTRS is undergoing a multi-yearmulti-phase Modernization project. This JanuaryPhase IV implementation will require increased user intervention in two systems and require comparison and reconciliation of outputs between the new and the old in-house systems.TRS is seeking a College Aide who will be performing various accounting assignments in accordance with accounting rules and organizational proceduresincluding gatheringanalyzingand reconciling records of financial activities. The selected candidate may also enter data into GL packageproces,FinanceAccounting& Procurement
The Teachersâ€™ Retirement System of the City of New York (TRS) is a public pension fund that provides New York City educators with retirementdisabilityand death benefits. Established on August 11917TRS is currently the second-largest New York City pension system and one of the largest pension plan sponsors in the United Stateswith almost $72 billion in assets and over 200 000 active and inactive membersretirees and beneficiaries.CurrentlyTRS is undergoing a multi-yearmulti-phase Modernization project. This JanuaryPhase IV implementation will require increased user intervention in two systems and require comparison and reconciliation of outputs between the new and the old in-house systems.TRS is seeking a College Aide who will be performing various accounting assignments in accordance with accounting rules and organizational proceduresincluding gatheringanalyzingand reconciling records of financial activities. The selected candidate may also enter data into GL packageproces,FinanceAccounting& Procurement
The Teachersâ€™ Retirement System of the City of New York (TRS) is a public pension fund that provides New York City educators with retirementdisabilityand death benefits. Established on August 11917TRS is currently the second-largest New York City pension system and one of the largest pension plan sponsors in the United Stateswith almost $72 billion in assets and over 200 000 active and inactive membersretirees and beneficiaries.CurrentlyTRS is undergoing a multi-yearmulti-phase Modernization project. This JanuaryPhase IV implementation will require increased user intervention in two systems and require comparison and reconciliation of outputs between the new and the old in-house systems.TRS is seeking a College Aide who will be performing various accounting assignments in accordance with accounting rules and organizational proceduresincluding gatheringanalyzingand reconciling records of financial activities. The selected candidate may also enter data into GL packageproces,FinanceAccounting& Procurement
This position performs supervisory work in the inspection of buildingsother structuresand/or devices in the assigned discipline/s for conformity with NYC Construction CodesDepartment rulesother pertinent laws and rulesand approved plans and specifications.Under direction: â€¢Assists and supports the Chief and Assistant Chief with daily operations. â€¢Monitorsadjusts and approves inspectorsâ€™ routes and submitted inspection record per relevant protocols. â€¢Supervises inspectorial staffprioritizesassigns and coordinates workflow to ensure timely achievement of unit goals. â€¢When conducting inspections in the fieldresponds toreports and investigates accidentsincidents and complaintsissues violationssummonses and stop work ordersand verifies licenses of onsite workers. â€¢Explains and enforces laws and rules relevant to the field. â€¢Coordinates and makes joint inspections with other inspectors and makes special field inspections. â€¢Testifies as ,Public SafetyInspections& Enforcement
This position performs supervisory work in the inspection of buildingsother structuresand/or devices in the assigned discipline/s for conformity with NYC Construction CodesDepartment rulesother pertinent laws and rulesand approved plans and specifications.Under direction: â€¢Assists and supports the Chief and Assistant Chief with daily operations. â€¢Monitorsadjusts and approves inspectorsâ€™ routes and submitted inspection record per relevant protocols. â€¢Supervises inspectorial staffprioritizesassigns and coordinates workflow to ensure timely achievement of unit goals. â€¢When conducting inspections in the fieldresponds toreports and investigates accidentsincidents and complaintsissues violationssummonses and stop work ordersand verifies licenses of onsite workers. â€¢Explains and enforces laws and rules relevant to the field. â€¢Coordinates and makes joint inspections with other inspectors and makes special field inspections. â€¢Testifies as ,Public SafetyInspections& Enforcement
Manhattan Borough President Gale A. Brewer seeks a Press Secretary to join her energetic and collaborative communications team.The person in this position will be the office primary media contact and should be comfortable speaking on the record to members of the media.The Press Secretary will be responsible for organizing news conferences and regularly staffing the B.P. at public eventsand will be part of a four-person communications team on a range of day-to-day communications work including public remarkspress releasesquotesemail blastsweb writingsocial media copycorrespondenceand publications.The Press Secretary will report to the Communications Director and regularly collaborate with the CommunicationsEventsLand UseCommunity Affairsand Policy teamsas well as the B.P. herself. The successful candidate will likely have previous experience with journalism or public relations / media relations in a governmentNGOor political contextand will be used to multi-t,Communications & Intergovernmental Affairs
Manhattan Borough President Gale A. Brewer seeks a Press Secretary to join her energetic and collaborative communications team.The person in this position will be the office primary media contact and should be comfortable speaking on the record to members of the media.The Press Secretary will be responsible for organizing news conferences and regularly staffing the B.P. at public eventsand will be part of a four-person communications team on a range of day-to-day communications work including public remarkspress releasesquotesemail blastsweb writingsocial media copycorrespondenceand publications.The Press Secretary will report to the Communications Director and regularly collaborate with the CommunicationsEventsLand UseCommunity Affairsand Policy teamsas well as the B.P. herself. The successful candidate will likely have previous experience with journalism or public relations / media relations in a governmentNGOor political contextand will be used to multi-t,Communications & Intergovernmental Affairs
"The Office of Enforcement and Neighborhood Services works closely with other HPD divisions and outside community partners to identify buildings with violation problemsassess and develop appropriate strategies to address those propertiesand work closely with responsible owners to develop a plan to improve conditions and return buildings to firm financial footing and physical health. HPD uses enforcement tools within the Division of Code EnforcementHousing Litigation DivisionEmergency Repair Program or the Division of Special Enforcement to ensure compliance with legal and regulatory obligations.Key responsibilities Under the direction of the Assistant Commissioner and Director of Operations of the Housing Litigation Divisionthe candidate will be responsible forbut not limited tothe following:Maintaining the unit files and court calendarsEnsuring that document production and file information is timely produced for all the borough units an properly tracked in the L",Administration & Human Resources
"The Office of Enforcement and Neighborhood Services works closely with other HPD divisions and outside community partners to identify buildings with violation problemsassess and develop appropriate strategies to address those propertiesand work closely with responsible owners to develop a plan to improve conditions and return buildings to firm financial footing and physical health. HPD uses enforcement tools within the Division of Code EnforcementHousing Litigation DivisionEmergency Repair Program or the Division of Special Enforcement to ensure compliance with legal and regulatory obligations.Key responsibilities Under the direction of the Assistant Commissioner and Director of Operations of the Housing Litigation Divisionthe candidate will be responsible forbut not limited tothe following:Maintaining the unit files and court calendarsEnsuring that document production and file information is timely produced for all the borough units an properly tracked in the L",Administration & Human Resources
"The Office of Enforcement and Neighborhood Services works closely with other HPD divisions and outside community partners to identify buildings with violation problemsassess and develop appropriate strategies to address those propertiesand work closely with responsible owners to develop a plan to improve conditions and return buildings to firm financial footing and physical health. HPD uses enforcement tools within the Division of Code EnforcementHousing Litigation DivisionEmergency Repair Program or the Division of Special Enforcement to ensure compliance with legal and regulatory obligations.Key responsibilities Under the direction of the Assistant Commissioner and Director of Operations of the Housing Litigation Divisionthe candidate will be responsible forbut not limited tothe following:Maintaining the unit files and court calendarsEnsuring that document production and file information is timely produced for all the borough units an properly tracked in the L",Administration & Human Resources
"The Office of Enforcement and Neighborhood Services works closely with other HPD divisions and outside community partners to identify buildings with violation problemsassess and develop appropriate strategies to address those propertiesand work closely with responsible owners to develop a plan to improve conditions and return buildings to firm financial footing and physical health. HPD uses enforcement tools within the Division of Code EnforcementHousing Litigation DivisionEmergency Repair Program or the Division of Special Enforcement to ensure compliance with legal and regulatory obligations.Key responsibilities Under the direction of the Assistant Commissioner and Director of Operations of the Housing Litigation Divisionthe candidate will be responsible forbut not limited tothe following:Maintaining the unit files and court calendarsEnsuring that document production and file information is timely produced for all the borough units an properly tracked in the L",Administration & Human Resources
"The New York City Department of Correction (DOC) provides for the carecustodyand control of persons accused of crimes or convicted and sentenced to one year or less of jail time.The Department manages 11 inmate facilities8 of which are located on Rikers Island.In additionthe Department operates two hospital Prison Wards (Bellevue and Elmhurst hospitals) and court holding facilities in each borough.The New York City Department of Correction seeks to recruit Legal Coordinators for the Office of Trials & Litigationwhose task will include but are not limited to the following tasks:Maintaining and updating electronic and hard-copy case filesincluding monitoring case status and coordinating the various stages of litigationPreparingreviewingfilingand processing documents that may includesubpoenasmotionsand notices of violationConferring with complainantsemployersattorneysand court personnel in preparation for litigation or in matters relating to",Legal Affairs
"The New York City Department of Correction (DOC) provides for the carecustodyand control of persons accused of crimes or convicted and sentenced to one year or less of jail time.The Department manages 11 inmate facilities8 of which are located on Rikers Island.In additionthe Department operates two hospital Prison Wards (Bellevue and Elmhurst hospitals) and court holding facilities in each borough.The New York City Department of Correction seeks to recruit Legal Coordinators for the Office of Trials & Litigationwhose task will include but are not limited to the following tasks:Maintaining and updating electronic and hard-copy case filesincluding monitoring case status and coordinating the various stages of litigationPreparingreviewingfilingand processing documents that may includesubpoenasmotionsand notices of violationConferring with complainantsemployersattorneysand court personnel in preparation for litigation or in matters relating to",Legal Affairs
The New York City Department of Correction (DOC) provides for the carecustodyand control of persons accused of crimes or convicted and sentenced to one year or less of jail time.The Department manages 11 inmate facilities8 of which are located on Rikers Island.In additionthe Department operates two hospital Prison Wards (Bellevue and Elmhurst hospitals) and court holding facilities in each borough.DOC seeks to recruit an Executive DirectorInstructional Design and Enrollment Management who will be reporting to the Deputy CommissionerTraining & Development.The selected candidate will be chiefly responsible for the development and implementation of a consistent Instructional Design approach for all learning initiativesas well as management of the organization Learning Management System (LMS).The selected candidate will also be responsible for developing a comprehensive Instructional Design Standards guidelineand implementing it in our processes for designing and developing n,Administration & Human Resources
The New York City Department of Correction (DOC) provides for the carecustodyand control of persons accused of crimes or convicted and sentenced to one year or less of jail time.The Department manages 11 inmate facilities8 of which are located on Rikers Island.In additionthe Department operates two hospital Prison Wards (Bellevue and Elmhurst hospitals) and court holding facilities in each borough.DOC seeks to recruit an Executive DirectorInstructional Design and Enrollment Management who will be reporting to the Deputy CommissionerTraining & Development.The selected candidate will be chiefly responsible for the development and implementation of a consistent Instructional Design approach for all learning initiativesas well as management of the organization Learning Management System (LMS).The selected candidate will also be responsible for developing a comprehensive Instructional Design Standards guidelineand implementing it in our processes for designing and developing n,Administration & Human Resources
"The New York City Department of Correction (DOC) provides for the carecustodyand control of persons accused of crimes or convicted and sentenced to one year or less of jail time.The Department manages 11 inmate facilities8 of which are located on Rikers Island.In additionthe Department operates two hospital Prison Wards (Bellevue and Elmhurst hospitals) and court holding facilities in each borough.The DOC seeks to recruit an Executive Director of Professional Development who will be reporting to the Deputy Commissioner of Training and Development. The Executive Director of Professional Development will be chiefly responsible for the designdevelopment and delivery of in serviceprofessional development and compliance training for the uniform and non-uniform Department employees. Other duties and responsibilities include but are not limited to the following:Overseeing the coordination and delivery of open enrollment training and developmental courses for front linesupervisory and ",Administration & Human Resources
The NYC Department of Buildings is responsible for ensuring the safe and lawful use of buildings and properties by enforcing the NYC Construction CodesEnergy Code and Zoning Resolution. We facilitate compliant development with integrityefficiencyand professionalism. We are committed to becoming the premier municipal building organizationdedicated to enhancing the quality of life for all New Yorkers and making our city safer.This position is responsible for managing the development of safety standards and guidanceanalyzing the Department and industry safety practicesand engaging with internal and external stakeholders on safety matters.Under direction: â€¢ Develop and manage the development of safety standards and guidance as it pertains to industrial hygiene and construction. â€¢ Analyze the Department's and industry safety practices and identify best practices and areas for improvement. Participate in the formulation of department planspolicyand proceduresproposing and,Engineering Architecture & Planning PolicyRes
The NYC Department of Buildings is responsible for ensuring the safe and lawful use of buildings and properties by enforcing the NYC Construction CodesEnergy Code and Zoning Resolution. We facilitate compliant development with integrityefficiencyand professionalism. We are committed to becoming the premier municipal building organizationdedicated to enhancing the quality of life for all New Yorkers and making our city safer.This position is responsible for managing the development of safety standards and guidanceanalyzing the Department and industry safety practicesand engaging with internal and external stakeholders on safety matters.Under direction: â€¢ Develop and manage the development of safety standards and guidance as it pertains to industrial hygiene and construction. â€¢ Analyze the Department's and industry safety practices and identify best practices and areas for improvement. Participate in the formulation of department planspolicyand proceduresproposing and,Engineering Architecture & Planning PolicyRes
The Commission on Human Rights (the Commission) is the agency charged with enforcing the New York City Human Rights Law (NYCHRL)   one of the most expansive civil rights laws in the nation.Through its Law Enforcement Bureau (LEB)the Commission accepts claims filed by the publicand has the power to initiate its own investigations to affirmatively root out discriminationharassmentretaliation and other violations of the NYCHRL.The Commission Community Relations Bureau (CRB) is empowered to take action against prejudiceintolerancebigotrydiscrimination and bias-related violence or harassment through educationtrainingsoutreach effortsand other mechanisms aimed at creating partnerships and relationships with stakeholders in the community.Both bureaus collaborate closely to work towards the shared goal of fostering mutual understanding and respect among all New Yorkers and encouraging equality of treatment throughout the City.Agency AttorneysLevel Twowork within the ,Legal Affairs
